"year","n_vessels","n_vessel_days"
1981,163,6140
1982,222,9218
1983,262,9012
1984,357,12374
1985,379,14315
1986,379,13336
1987,291,10668
1988,211,8585
1989,198,7811
1990,182,6836
1991,158,6668
1992,117,5611
1993,116,5787
1994,76,2482
1995,72,2646
1996,60,2677
1997,66,3310
1998,59,2889
1999,63,4026
2000,66,3830
2001,65,3303
2002,56,3412
2003,51,2779
2004,47,2628
2005,41,1933
2006,43,1669
2007,44,1800
2008,43,1945
2009,41,1938
2010,36,1554
2011,40,1610
2012,36,1396
2013,32,973
2014,25,831
2015,26,1027
2016,25,1117
2017,27,1023
2018,28,1440
2019,28,1613
2020,29,1301
2021,25,1322
