"attrbute","value"
"Vessel Name","SNEAKY PETE"
"Primary Vessel Number","956837 (Official Number (U.S.))"
"Hull Identification Number","N/A"
"Manufacturer Hull Number","C2901USN"
"IMO Number","N/A"
"Vessel Flag","UNITED STATES"
"Vessel Call Sign","N/A"
"Service","Commercial Fishing Vessel"
"Length","33.00 ft"
"Breadth","11.00 ft"
"Depth","5.00 ft"
"Build Year","1964"
"Alternate VINs:",NA
"CF2060ZM (State Number)",NA
