"attrbute","value"
"Vessel Name","VEDRFOLNIR"
"Primary Vessel Number","668163 (Official Number (U.S.))"
"Hull Identification Number","N/A"
"Manufacturer Hull Number","PYK420240284"
"IMO Number","N/A"
"Vessel Flag","UNITED STATES"
"Vessel Call Sign","WCZ9867"
"Service","Recreational"
"Length","41.70 ft"
"Breadth","12.80 ft"
"Depth","6.30 ft"
"Build Year","1984"
"Alternate VINs","N/A"
