"attrbute","value"
"Vessel Name","SANDY BEA"
"Primary Vessel Number","1078115 (Official Number (U.S.))"
"Hull Identification Number","N/A"
"Manufacturer Hull Number","HLG38072I899"
"IMO Number","N/A"
"Vessel Flag","UNITED STATES"
"Vessel Call Sign","WDC4800"
"Service","Commercial Fishing Vessel"
"Length","38.10 ft"
"Breadth","12.80 ft"
"Depth","6.60 ft"
"Build Year","1999"
"Alternate VINs:",NA
"CG491268 (Coast Guard Number)",NA
