"attrbute","value"
"Vessel Name","MOON LIGHT"
"Primary Vessel Number","927890 (Official Number (U.S.))"
"Hull Identification Number","N/A"
"Manufacturer Hull Number","VEG26061M79L"
"IMO Number","N/A"
"Vessel Flag","UNITED STATES"
"Vessel Call Sign","WDK8215"
"Service","Commercial Fishing Vessel"
"Length","35.70 ft"
"Breadth","12.90 ft"
"Depth","5.30 ft"
"Build Year","1979"
"Alternate VINs:",NA
"CG324007 (Coast Guard Number)",NA
