".threshold",".metric",".estimator",".estimate","species","type"
0.15,"kap","binary",0.202605043549083,"Soupfin shark","test data"
0.16,"kap","binary",0.212782645292115,"Soupfin shark","test data"
0.17,"kap","binary",0.228771238809119,"Soupfin shark","test data"
0.18,"kap","binary",0.234098967485677,"Soupfin shark","test data"
0.19,"kap","binary",0.24814970427588,"Soupfin shark","test data"
0.2,"kap","binary",0.262210644062002,"Soupfin shark","test data"
0.21,"kap","binary",0.275417987252885,"Soupfin shark","test data"
0.22,"kap","binary",0.287309900171374,"Soupfin shark","test data"
0.23,"kap","binary",0.301926433106358,"Soupfin shark","test data"
0.24,"kap","binary",0.312456878708431,"Soupfin shark","test data"
0.25,"kap","binary",0.327088215805647,"Soupfin shark","test data"
0.26,"kap","binary",0.331256961346479,"Soupfin shark","test data"
0.27,"kap","binary",0.340653444656758,"Soupfin shark","test data"
0.28,"kap","binary",0.351388269942454,"Soupfin shark","test data"
0.29,"kap","binary",0.361904667022003,"Soupfin shark","test data"
0.3,"kap","binary",0.368537429662124,"Soupfin shark","test data"
0.31,"kap","binary",0.371430498835031,"Soupfin shark","test data"
0.32,"kap","binary",0.376334306639223,"Soupfin shark","test data"
0.33,"kap","binary",0.380510061852078,"Soupfin shark","test data"
0.34,"kap","binary",0.389205226731508,"Soupfin shark","test data"
0.35,"kap","binary",0.397465874799722,"Soupfin shark","test data"
0.36,"kap","binary",0.408151016568655,"Soupfin shark","test data"
0.37,"kap","binary",0.406700708751489,"Soupfin shark","test data"
0.38,"kap","binary",0.416781066388447,"Soupfin shark","test data"
0.39,"kap","binary",0.416734847040152,"Soupfin shark","test data"
0.4,"kap","binary",0.415444343190982,"Soupfin shark","test data"
0.41,"kap","binary",0.415326215293207,"Soupfin shark","test data"
0.42,"kap","binary",0.416542089962404,"Soupfin shark","test data"
0.43,"kap","binary",0.416440696613361,"Soupfin shark","test data"
0.44,"kap","binary",0.413824757883141,"Soupfin shark","test data"
0.45,"kap","binary",0.412312530237058,"Soupfin shark","test data"
0.46,"kap","binary",0.424047898277884,"Soupfin shark","test data"
0.47,"kap","binary",0.426762355788288,"Soupfin shark","test data"
0.48,"kap","binary",0.425438043615278,"Soupfin shark","test data"
0.49,"kap","binary",0.424094958000973,"Soupfin shark","test data"
0.5,"kap","binary",0.41860034603308,"Soupfin shark","test data"
0.51,"kap","binary",0.408794154524623,"Soupfin shark","test data"
0.52,"kap","binary",0.415685015937388,"Soupfin shark","test data"
0.53,"kap","binary",0.412720502779649,"Soupfin shark","test data"
0.54,"kap","binary",0.415482532931567,"Soupfin shark","test data"
0.55,"kap","binary",0.415340608440249,"Soupfin shark","test data"
0.56,"kap","binary",0.416752120816631,"Soupfin shark","test data"
0.57,"kap","binary",0.4166928342649,"Soupfin shark","test data"
0.58,"kap","binary",0.410491574370855,"Soupfin shark","test data"
0.59,"kap","binary",0.408848439286942,"Soupfin shark","test data"
0.6,"kap","binary",0.405663790816039,"Soupfin shark","test data"
0.61,"kap","binary",0.403959015596122,"Soupfin shark","test data"
0.62,"kap","binary",0.40855188420958,"Soupfin shark","test data"
0.63,"kap","binary",0.397136322959133,"Soupfin shark","test data"
0.64,"kap","binary",0.388460270916604,"Soupfin shark","test data"
0.65,"kap","binary",0.39311708456202,"Soupfin shark","test data"
0.66,"kap","binary",0.384547275399943,"Soupfin shark","test data"
0.67,"kap","binary",0.380982024745156,"Soupfin shark","test data"
0.68,"kap","binary",0.382539627484305,"Soupfin shark","test data"
0.69,"kap","binary",0.382071167883212,"Soupfin shark","test data"
0.7,"kap","binary",0.383654937570942,"Soupfin shark","test data"
0.71,"kap","binary",0.379491038078091,"Soupfin shark","test data"
0.72,"kap","binary",0.382719498238247,"Soupfin shark","test data"
0.73,"kap","binary",0.376800190312369,"Soupfin shark","test data"
0.74,"kap","binary",0.376234322026048,"Soupfin shark","test data"
0.75,"kap","binary",0.370696624202046,"Soupfin shark","test data"
0.76,"kap","binary",0.375654229275705,"Soupfin shark","test data"
0.77,"kap","binary",0.370044881867537,"Soupfin shark","test data"
0.78,"kap","binary",0.362000781406341,"Soupfin shark","test data"
0.79,"kap","binary",0.360418153903324,"Soupfin shark","test data"
0.8,"kap","binary",0.34425628474321,"Soupfin shark","test data"
0.81,"kap","binary",0.326040394739476,"Soupfin shark","test data"
0.82,"kap","binary",0.321741536758602,"Soupfin shark","test data"
0.83,"kap","binary",0.310674785634398,"Soupfin shark","test data"
0.84,"kap","binary",0.292846341258506,"Soupfin shark","test data"
0.85,"kap","binary",0.284321585479268,"Soupfin shark","test data"
0.86,"kap","binary",0.28073132780083,"Soupfin shark","test data"
0.87,"kap","binary",0.27865005920793,"Soupfin shark","test data"
0.88,"kap","binary",0.283484295834765,"Soupfin shark","test data"
0.89,"kap","binary",0.278122172703817,"Soupfin shark","test data"
0.9,"kap","binary",0.263144613690585,"Soupfin shark","test data"
0.1,"kap","binary",0.661584008257457,"Common murre","test data"
0.11,"kap","binary",0.665031694742005,"Common murre","test data"
0.12,"kap","binary",0.665031694742005,"Common murre","test data"
0.13,"kap","binary",0.665031694742005,"Common murre","test data"
0.14,"kap","binary",0.66851270436371,"Common murre","test data"
0.15,"kap","binary",0.675576644360064,"Common murre","test data"
0.16,"kap","binary",0.679160574327807,"Common murre","test data"
0.17,"kap","binary",0.686434927440125,"Common murre","test data"
0.18,"kap","binary",0.686434927440125,"Common murre","test data"
0.19,"kap","binary",0.690126410616554,"Common murre","test data"
0.2,"kap","binary",0.690126410616554,"Common murre","test data"
0.21,"kap","binary",0.697620720221823,"Common murre","test data"
0.22,"kap","binary",0.697620720221823,"Common murre","test data"
0.23,"kap","binary",0.698376810442453,"Common murre","test data"
0.24,"kap","binary",0.706149436361885,"Common murre","test data"
0.25,"kap","binary",0.710096181977027,"Common murre","test data"
0.26,"kap","binary",0.70705933922546,"Common murre","test data"
0.27,"kap","binary",0.70705933922546,"Common murre","test data"
0.28,"kap","binary",0.723372531543557,"Common murre","test data"
0.29,"kap","binary",0.723372531543557,"Common murre","test data"
0.3,"kap","binary",0.727560505820283,"Common murre","test data"
0.31,"kap","binary",0.720380743088928,"Common murre","test data"
0.32,"kap","binary",0.724597991119614,"Common murre","test data"
0.33,"kap","binary",0.721570339178884,"Common murre","test data"
0.34,"kap","binary",0.71847537784547,"Common murre","test data"
0.35,"kap","binary",0.715310837300476,"Common murre","test data"
0.36,"kap","binary",0.715310837300476,"Common murre","test data"
0.37,"kap","binary",0.719666284577762,"Common murre","test data"
0.38,"kap","binary",0.724071246819338,"Common murre","test data"
0.39,"kap","binary",0.728526573219606,"Common murre","test data"
0.4,"kap","binary",0.733033132503156,"Common murre","test data"
0.41,"kap","binary",0.710925873555278,"Common murre","test data"
0.42,"kap","binary",0.715515974899086,"Common murre","test data"
0.43,"kap","binary",0.720161403838033,"Common murre","test data"
0.44,"kap","binary",0.726282741643909,"Common murre","test data"
0.45,"kap","binary",0.718024261335462,"Common murre","test data"
0.46,"kap","binary",0.718024261335462,"Common murre","test data"
0.47,"kap","binary",0.722859660310676,"Common murre","test data"
0.48,"kap","binary",0.732714168811066,"Common murre","test data"
0.49,"kap","binary",0.715750056169958,"Common murre","test data"
0.5,"kap","binary",0.715750056169958,"Common murre","test data"
0.51,"kap","binary",0.707103750995601,"Common murre","test data"
0.52,"kap","binary",0.712056687369763,"Common murre","test data"
0.53,"kap","binary",0.712056687369763,"Common murre","test data"
0.54,"kap","binary",0.713325166032626,"Common murre","test data"
0.55,"kap","binary",0.714645095758622,"Common murre","test data"
0.56,"kap","binary",0.710734101579172,"Common murre","test data"
0.57,"kap","binary",0.701456577968419,"Common murre","test data"
0.58,"kap","binary",0.692050132254383,"Common murre","test data"
0.59,"kap","binary",0.682512058348517,"Common murre","test data"
0.6,"kap","binary",0.687710502353238,"Common murre","test data"
0.61,"kap","binary",0.692982722664936,"Common murre","test data"
0.62,"kap","binary",0.703754864848962,"Common murre","test data"
0.63,"kap","binary",0.716333577482474,"Common murre","test data"
0.64,"kap","binary",0.722138437345344,"Common murre","test data"
0.65,"kap","binary",0.722138437345344,"Common murre","test data"
0.66,"kap","binary",0.707600306792579,"Common murre","test data"
0.67,"kap","binary",0.707600306792579,"Common murre","test data"
0.68,"kap","binary",0.698312210200927,"Common murre","test data"
0.69,"kap","binary",0.694564710048124,"Common murre","test data"
0.7,"kap","binary",0.694564710048124,"Common murre","test data"
0.71,"kap","binary",0.6832183221568,"Common murre","test data"
0.72,"kap","binary",0.6832183221568,"Common murre","test data"
0.73,"kap","binary",0.671681117581018,"Common murre","test data"
0.74,"kap","binary",0.671681117581018,"Common murre","test data"
0.75,"kap","binary",0.666065204291911,"Common murre","test data"
0.76,"kap","binary",0.654081461334408,"Common murre","test data"
0.77,"kap","binary",0.604005091571779,"Common murre","test data"
0.78,"kap","binary",0.596800237963711,"Common murre","test data"
0.79,"kap","binary",0.569772558411299,"Common murre","test data"
0.8,"kap","binary",0.555879558336883,"Common murre","test data"
0.81,"kap","binary",0.512596354810437,"Common murre","test data"
0.82,"kap","binary",0.471964036680093,"Common murre","test data"
0.83,"kap","binary",0.455958793878892,"Common murre","test data"
0.84,"kap","binary",0.455958793878892,"Common murre","test data"
0.85,"kap","binary",0.439626661578579,"Common murre","test data"
0.86,"kap","binary",0.405940835125593,"Common murre","test data"
0.87,"kap","binary",0.319363160993178,"Common murre","test data"
0.88,"kap","binary",0.319363160993178,"Common murre","test data"
0.89,"kap","binary",0.259452149264024,"Common murre","test data"
0.9,"kap","binary",0.21715993418007,"Common murre","test data"
