"","species","variable","importance"
"1","Harbor seal","yday",40.0964492884449
"2","Harbor seal","depth_fa",36.084173985122
"3","Harbor seal","shore_km",34.2204659374865
"4","Harbor seal","sst_c",33.903585250832
"5","Harbor seal","long_dd",31.5934810378352
"6","Harbor seal","lat_dd",29.315627942614
"7","Harbor seal","soak_hr",24.0238851137703
"8","Harbor seal","mesh_size_in",9.03730273807924
"9","Harbor seal","island_yn_X1",7.06476238519476
