"species","variable","importance"
"Common murre","yday",66.7182343681504
"Common murre","lat_dd",53.7223157679094
"Common murre","sst_c",27.8917794740156
"Common murre","shore_km",23.8988770669172
"Common murre","long_dd",19.5627144031312
"Common murre","depth_fa",16.7436107449279
"Common murre","soak_hr",14.3375945678909
"Common murre","mesh_size_in",5.22101716292185
"Common murre","island_yn_X1",0
