".threshold",".metric",".estimator",".estimate","species"
0.31,"sens","binary",0.506072874493927,"California sea lion"
0.32,"sens","binary",0.491228070175439,"California sea lion"
0.33,"sens","binary",0.475033738191633,"California sea lion"
0.34,"sens","binary",0.46693657219973,"California sea lion"
0.35,"sens","binary",0.45748987854251,"California sea lion"
0.36,"sens","binary",0.439946018893387,"California sea lion"
0.37,"sens","binary",0.431848852901485,"California sea lion"
0.38,"sens","binary",0.415654520917679,"California sea lion"
0.39,"sens","binary",0.396761133603239,"California sea lion"
0.4,"sens","binary",0.388663967611336,"California sea lion"
0.41,"sens","binary",0.376518218623482,"California sea lion"
0.42,"sens","binary",0.371120107962213,"California sea lion"
0.43,"sens","binary",0.365721997300945,"California sea lion"
0.44,"sens","binary",0.356275303643725,"California sea lion"
0.45,"sens","binary",0.350877192982456,"California sea lion"
0.46,"sens","binary",0.340080971659919,"California sea lion"
0.47,"sens","binary",0.331983805668016,"California sea lion"
0.48,"sens","binary",0.321187584345479,"California sea lion"
0.49,"sens","binary",0.303643724696356,"California sea lion"
0.5,"sens","binary",0.296896086369771,"California sea lion"
0.51,"sens","binary",0.291497975708502,"California sea lion"
0.52,"sens","binary",0.283400809716599,"California sea lion"
0.53,"sens","binary",0.275303643724696,"California sea lion"
0.54,"sens","binary",0.267206477732794,"California sea lion"
0.55,"sens","binary",0.263157894736842,"California sea lion"
0.56,"sens","binary",0.251012145748988,"California sea lion"
0.57,"sens","binary",0.246963562753036,"California sea lion"
0.58,"sens","binary",0.242914979757085,"California sea lion"
0.59,"sens","binary",0.238866396761134,"California sea lion"
0.6,"sens","binary",0.233468286099865,"California sea lion"
0.61,"sens","binary",0.228070175438596,"California sea lion"
0.62,"sens","binary",0.221322537112011,"California sea lion"
0.63,"sens","binary",0.217273954116059,"California sea lion"
0.64,"sens","binary",0.198380566801619,"California sea lion"
0.65,"sens","binary",0.194331983805668,"California sea lion"
0.66,"sens","binary",0.187584345479082,"California sea lion"
0.67,"sens","binary",0.184885290148448,"California sea lion"
0.68,"sens","binary",0.180836707152497,"California sea lion"
0.69,"sens","binary",0.174089068825911,"California sea lion"
0.7,"sens","binary",0.167341430499325,"California sea lion"
0.71,"sens","binary",0.159244264507422,"California sea lion"
0.72,"sens","binary",0.152496626180837,"California sea lion"
0.73,"sens","binary",0.147098515519568,"California sea lion"
0.74,"sens","binary",0.140350877192982,"California sea lion"
0.75,"sens","binary",0.136302294197031,"California sea lion"
0.76,"sens","binary",0.134952766531714,"California sea lion"
0.77,"sens","binary",0.128205128205128,"California sea lion"
0.78,"sens","binary",0.12280701754386,"California sea lion"
0.79,"sens","binary",0.118758434547908,"California sea lion"
0.8,"sens","binary",0.110661268556005,"California sea lion"
0.81,"sens","binary",0.10391363022942,"California sea lion"
0.82,"sens","binary",0.0958164642375169,"California sea lion"
0.83,"sens","binary",0.0917678812415655,"California sea lion"
0.84,"sens","binary",0.0904183535762483,"California sea lion"
0.85,"sens","binary",0.0863697705802969,"California sea lion"
0.86,"sens","binary",0.0823211875843455,"California sea lion"
0.87,"sens","binary",0.0809716599190283,"California sea lion"
0.88,"sens","binary",0.0769230769230769,"California sea lion"
0.89,"sens","binary",0.0715249662618084,"California sea lion"
0.9,"sens","binary",0.0620782726045884,"California sea lion"
0.1,"spec","binary",0.584399101825637,"California sea lion"
0.11,"spec","binary",0.609001269159426,"California sea lion"
0.12,"spec","binary",0.635263106511764,"California sea lion"
0.13,"spec","binary",0.651957434345407,"California sea lion"
0.14,"spec","binary",0.670506687493898,"California sea lion"
0.15,"spec","binary",0.692277653031338,"California sea lion"
0.16,"spec","binary",0.705262130235283,"California sea lion"
0.17,"spec","binary",0.721077809235576,"California sea lion"
0.18,"spec","binary",0.73259787171727,"California sea lion"
0.19,"spec","binary",0.744898955384165,"California sea lion"
0.2,"spec","binary",0.757492921995509,"California sea lion"
0.21,"spec","binary",0.771746558625403,"California sea lion"
0.22,"spec","binary",0.780728302255199,"California sea lion"
0.23,"spec","binary",0.792638875329493,"California sea lion"
0.24,"spec","binary",0.803475544274138,"California sea lion"
0.25,"spec","binary",0.810114224348335,"California sea lion"
0.26,"spec","binary",0.820072244459631,"California sea lion"
0.27,"spec","binary",0.828565849848677,"California sea lion"
0.28,"spec","binary",0.835790295811774,"California sea lion"
0.29,"spec","binary",0.84516255003417,"California sea lion"
0.3,"spec","binary",0.852094113052817,"California sea lion"
0.31,"spec","binary",0.856584984867715,"California sea lion"
0.32,"spec","binary",0.863809430830811,"California sea lion"
0.33,"spec","binary",0.870155227960558,"California sea lion"
0.34,"spec","binary",0.877282046275505,"California sea lion"
0.35,"spec","binary",0.882651566923753,"California sea lion"
0.36,"spec","binary",0.887532949331251,"California sea lion"
0.37,"spec","binary",0.893585863516548,"California sea lion"
0.38,"spec","binary",0.898662501220346,"California sea lion"
0.39,"spec","binary",0.903641511275993,"California sea lion"
0.4,"spec","binary",0.907937127794591,"California sea lion"
0.41,"spec","binary",0.912525627257639,"California sea lion"
0.42,"spec","binary",0.916821243776237,"California sea lion"
0.43,"spec","binary",0.920921604998536,"California sea lion"
0.44,"spec","binary",0.923655179146734,"California sea lion"
0.45,"spec","binary",0.925802987406033,"California sea lion"
0.46,"spec","binary",0.927755540369033,"California sea lion"
0.47,"spec","binary",0.930977252757981,"California sea lion"
0.48,"spec","binary",0.93410133749878,"California sea lion"
0.49,"spec","binary",0.936737283998828,"California sea lion"
0.5,"spec","binary",0.939666113443327,"California sea lion"
0.51,"spec","binary",0.942790198184126,"California sea lion"
0.52,"spec","binary",0.945328517036025,"California sea lion"
0.53,"spec","binary",0.947866835887923,"California sea lion"
0.54,"spec","binary",0.951771941813922,"California sea lion"
0.55,"spec","binary",0.953822122425071,"California sea lion"
0.56,"spec","binary",0.95557942009177,"California sea lion"
0.57,"spec","binary",0.958410621888119,"California sea lion"
0.58,"spec","binary",0.959484526017768,"California sea lion"
0.59,"spec","binary",0.962413355462267,"California sea lion"
0.6,"spec","binary",0.963975397832666,"California sea lion"
0.61,"spec","binary",0.966416089036415,"California sea lion"
0.62,"spec","binary",0.967782876110515,"California sea lion"
0.63,"spec","binary",0.969637801425364,"California sea lion"
0.64,"spec","binary",0.971297471443913,"California sea lion"
0.65,"spec","binary",0.972176120277263,"California sea lion"
0.66,"spec","binary",0.973738162647662,"California sea lion"
0.67,"spec","binary",0.975104949721761,"California sea lion"
0.68,"spec","binary",0.97666699209216,"California sea lion"
0.69,"spec","binary",0.97822903446256,"California sea lion"
0.7,"spec","binary",0.979498193888509,"California sea lion"
0.71,"spec","binary",0.980669725666309,"California sea lion"
0.72,"spec","binary",0.982036512740408,"California sea lion"
0.73,"spec","binary",0.983012789221908,"California sea lion"
0.74,"spec","binary",0.983989065703407,"California sea lion"
0.75,"spec","binary",0.985551108073807,"California sea lion"
0.76,"spec","binary",0.986332129259006,"California sea lion"
0.77,"spec","binary",0.987015522796056,"California sea lion"
0.78,"spec","binary",0.988382309870155,"California sea lion"
0.79,"spec","binary",0.988968075759055,"California sea lion"
0.8,"spec","binary",0.989846724592405,"California sea lion"
0.81,"spec","binary",0.990530118129454,"California sea lion"
0.82,"spec","binary",0.991213511666504,"California sea lion"
0.83,"spec","binary",0.991896905203554,"California sea lion"
0.84,"spec","binary",0.992287415796153,"California sea lion"
0.85,"spec","binary",0.992873181685053,"California sea lion"
0.86,"spec","binary",0.993751830518403,"California sea lion"
0.87,"spec","binary",0.994142341111003,"California sea lion"
0.88,"spec","binary",0.994337596407303,"California sea lion"
0.89,"spec","binary",0.995118617592502,"California sea lion"
0.9,"spec","binary",0.995606755833252,"California sea lion"
0.1,"j_index","binary",0.387368062689335,"California sea lion"
0.11,"j_index","binary",0.394426370374001,"California sea lion"
0.12,"j_index","binary",0.39639670975063,"California sea lion"
0.13,"j_index","binary",0.406343399257687,"California sea lion"
0.14,"j_index","binary",0.403300209761105,"California sea lion"
0.15,"j_index","binary",0.395381566661568,"California sea lion"
0.16,"j_index","binary",0.393521239547023,"California sea lion"
0.17,"j_index","binary",0.395841641894145,"California sea lion"
0.18,"j_index","binary",0.3884683170614,"California sea lion"
0.19,"j_index","binary",0.384575068744489,"California sea lion"
0.2,"j_index","binary",0.385023286367979,"California sea lion"
0.21,"j_index","binary",0.384432118679384,"California sea lion"
0.22,"j_index","binary",0.382617640986643,"California sea lion"
0.23,"j_index","binary",0.379683409742449,"California sea lion"
0.24,"j_index","binary",0.383772440360508,"California sea lion"
0.25,"j_index","binary",0.379614899112168,"California sea lion"
0.26,"j_index","binary",0.373378587239658,"California sea lion"
0.27,"j_index","binary",0.372425498971484,"California sea lion"
0.28,"j_index","binary",0.364805140616092,"California sea lion"
0.29,"j_index","binary",0.364730701181268,"California sea lion"
0.3,"j_index","binary",0.367613681203964,"California sea lion"
0.31,"j_index","binary",0.362657859361642,"California sea lion"
0.32,"j_index","binary",0.35503750100625,"California sea lion"
0.33,"j_index","binary",0.345188966152191,"California sea lion"
0.34,"j_index","binary",0.344218618475235,"California sea lion"
0.35,"j_index","binary",0.340141445466263,"California sea lion"
0.36,"j_index","binary",0.327478968224638,"California sea lion"
0.37,"j_index","binary",0.325434716418032,"California sea lion"
0.38,"j_index","binary",0.314317022138024,"California sea lion"
0.39,"j_index","binary",0.300402644879232,"California sea lion"
0.4,"j_index","binary",0.296601095405927,"California sea lion"
0.41,"j_index","binary",0.289043845881121,"California sea lion"
0.42,"j_index","binary",0.287941351738451,"California sea lion"
0.43,"j_index","binary",0.28664360229948,"California sea lion"
0.44,"j_index","binary",0.279930482790459,"California sea lion"
0.45,"j_index","binary",0.27668018038849,"California sea lion"
0.46,"j_index","binary",0.267836512028952,"California sea lion"
0.47,"j_index","binary",0.262961058425997,"California sea lion"
0.48,"j_index","binary",0.255288921844259,"California sea lion"
0.49,"j_index","binary",0.240381008695185,"California sea lion"
0.5,"j_index","binary",0.236562199813098,"California sea lion"
0.51,"j_index","binary",0.234288173892628,"California sea lion"
0.52,"j_index","binary",0.228729326752624,"California sea lion"
0.53,"j_index","binary",0.22317047961262,"California sea lion"
0.54,"j_index","binary",0.218978419546715,"California sea lion"
0.55,"j_index","binary",0.216980017161913,"California sea lion"
0.56,"j_index","binary",0.206591565840758,"California sea lion"
0.57,"j_index","binary",0.205374184641155,"California sea lion"
0.58,"j_index","binary",0.202399505774853,"California sea lion"
0.59,"j_index","binary",0.2012797522234,"California sea lion"
0.6,"j_index","binary",0.197443683932531,"California sea lion"
0.61,"j_index","binary",0.194486264475012,"California sea lion"
0.62,"j_index","binary",0.189105413222525,"California sea lion"
0.63,"j_index","binary",0.186911755541423,"California sea lion"
0.64,"j_index","binary",0.169678038245532,"California sea lion"
0.65,"j_index","binary",0.166508104082931,"California sea lion"
0.66,"j_index","binary",0.161322508126744,"California sea lion"
0.67,"j_index","binary",0.159990239870209,"California sea lion"
0.68,"j_index","binary",0.157503699244657,"California sea lion"
0.69,"j_index","binary",0.152318103288471,"California sea lion"
