"threshold","estimate_kappa","Species","Dataset"
0.43,0.258544559558628,"Harbor seal","Train data"
0.44,0.25596212032706,"Harbor seal","Train data"
0.45,0.249872821359676,"Harbor seal","Train data"
0.46,0.252155426977198,"Harbor seal","Train data"
0.47,0.256495582489492,"Harbor seal","Train data"
0.48,0.262471199383327,"Harbor seal","Train data"
0.49,0.262845236521997,"Harbor seal","Train data"
0.5,0.261636868872228,"Harbor seal","Train data"
0.51,0.265056912247971,"Harbor seal","Train data"
0.52,0.268186724941418,"Harbor seal","Train data"
0.53,0.26998280229102,"Harbor seal","Train data"
0.54,0.256982989915578,"Harbor seal","Train data"
0.55,0.260154245600539,"Harbor seal","Train data"
0.56,0.262110567464508,"Harbor seal","Train data"
0.57,0.26344943844439,"Harbor seal","Train data"
0.58,0.256685345656828,"Harbor seal","Train data"
0.59,0.258988435930382,"Harbor seal","Train data"
0.6,0.255325265812335,"Harbor seal","Train data"
0.61,0.241141990559601,"Harbor seal","Train data"
0.62,0.238390810002621,"Harbor seal","Train data"
0.63,0.238357877118067,"Harbor seal","Train data"
0.64,0.245554387985819,"Harbor seal","Train data"
0.65,0.235812359790637,"Harbor seal","Train data"
0.66,0.232178655027059,"Harbor seal","Train data"
0.67,0.22308195267039,"Harbor seal","Train data"
0.68,0.209534583074783,"Harbor seal","Train data"
0.69,0.20683726537921,"Harbor seal","Train data"
0.7,0.199720570582856,"Harbor seal","Train data"
0.71,0.189864319113146,"Harbor seal","Train data"
0.72,0.189981060944126,"Harbor seal","Train data"
0.73,0.194910580898302,"Harbor seal","Train data"
0.74,0.194800325451164,"Harbor seal","Train data"
0.75,0.186164702599972,"Harbor seal","Train data"
0.76,0.175783540965253,"Harbor seal","Train data"
0.77,0.17146348358799,"Harbor seal","Train data"
0.78,0.166014227116174,"Harbor seal","Train data"
0.79,0.164917124267922,"Harbor seal","Train data"
0.8,0.15872517817921,"Harbor seal","Train data"
0.81,0.152843728041224,"Harbor seal","Train data"
0.82,0.153317999287833,"Harbor seal","Train data"
0.83,0.145849734465235,"Harbor seal","Train data"
0.84,0.139153055056597,"Harbor seal","Train data"
0.85,0.137551872359122,"Harbor seal","Train data"
0.86,0.13452417238075,"Harbor seal","Train data"
0.87,0.136826134117694,"Harbor seal","Train data"
0.88,0.136069475575758,"Harbor seal","Train data"
0.89,0.137983023146139,"Harbor seal","Train data"
0.9,0.125904767664456,"Harbor seal","Train data"
0.1,0.191953884216805,"Harbor porpoise","Train data"
0.11,0.200308475765701,"Harbor porpoise","Train data"
0.12,0.207816510980309,"Harbor porpoise","Train data"
0.13,0.213398702579893,"Harbor porpoise","Train data"
0.14,0.209897729206094,"Harbor porpoise","Train data"
0.15,0.217808317540031,"Harbor porpoise","Train data"
0.16,0.217944059384712,"Harbor porpoise","Train data"
0.17,0.218248326484826,"Harbor porpoise","Train data"
0.18,0.215265335374792,"Harbor porpoise","Train data"
0.19,0.22960191248311,"Harbor porpoise","Train data"
0.2,0.224313164783369,"Harbor porpoise","Train data"
0.21,0.236626108947969,"Harbor porpoise","Train data"
0.22,0.240575977863104,"Harbor porpoise","Train data"
0.23,0.246043272300679,"Harbor porpoise","Train data"
0.24,0.254706003358909,"Harbor porpoise","Train data"
0.25,0.257725139970127,"Harbor porpoise","Train data"
0.26,0.262385042855202,"Harbor porpoise","Train data"
0.27,0.263974553300476,"Harbor porpoise","Train data"
0.28,0.273914775776854,"Harbor porpoise","Train data"
0.29,0.268446502022898,"Harbor porpoise","Train data"
0.3,0.273720582420794,"Harbor porpoise","Train data"
0.31,0.279198045929077,"Harbor porpoise","Train data"
0.32,0.260178334418399,"Harbor porpoise","Train data"
0.33,0.261974850008871,"Harbor porpoise","Train data"
0.34,0.267510464347331,"Harbor porpoise","Train data"
0.35,0.273275787298391,"Harbor porpoise","Train data"
0.36,0.266972537551921,"Harbor porpoise","Train data"
0.37,0.273019445908513,"Harbor porpoise","Train data"
0.38,0.273019445908513,"Harbor porpoise","Train data"
0.39,0.277199374278671,"Harbor porpoise","Train data"
0.4,0.281504459092672,"Harbor porpoise","Train data"
0.41,0.283705705038841,"Harbor porpoise","Train data"
0.42,0.283705705038841,"Harbor porpoise","Train data"
0.43,0.283705705038841,"Harbor porpoise","Train data"
0.44,0.288209333494779,"Harbor porpoise","Train data"
0.45,0.295229507566207,"Harbor porpoise","Train data"
0.46,0.295229507566207,"Harbor porpoise","Train data"
0.47,0.300095948040446,"Harbor porpoise","Train data"
0.48,0.291209842059147,"Harbor porpoise","Train data"
0.49,0.304032718015775,"Harbor porpoise","Train data"
0.5,0.29199077328025,"Harbor porpoise","Train data"
0.51,0.27952478099124,"Harbor porpoise","Train data"
0.52,0.282099461962023,"Harbor porpoise","Train data"
0.53,0.266611940954866,"Harbor porpoise","Train data"
0.54,0.269116421707597,"Harbor porpoise","Train data"
0.55,0.276909198716812,"Harbor porpoise","Train data"
0.56,0.279604270360689,"Harbor porpoise","Train data"
0.57,0.290909960616739,"Harbor porpoise","Train data"
0.58,0.293875491769404,"Harbor porpoise","Train data"
0.59,0.276811413517777,"Harbor porpoise","Train data"
0.6,0.276811413517777,"Harbor porpoise","Train data"
0.61,0.276811413517777,"Harbor porpoise","Train data"
0.62,0.2649331493287,"Harbor porpoise","Train data"
0.63,0.267783253456169,"Harbor porpoise","Train data"
0.64,0.270692989110905,"Harbor porpoise","Train data"
0.65,0.270692989110905,"Harbor porpoise","Train data"
0.66,0.270692989110905,"Harbor porpoise","Train data"
0.67,0.270692989110905,"Harbor porpoise","Train data"
0.68,0.270692989110905,"Harbor porpoise","Train data"
0.69,0.270692989110905,"Harbor porpoise","Train data"
0.7,0.270692989110905,"Harbor porpoise","Train data"
0.71,0.273664247545813,"Harbor porpoise","Train data"
0.72,0.276699000844767,"Harbor porpoise","Train data"
0.73,0.276699000844767,"Harbor porpoise","Train data"
0.74,0.276699000844767,"Harbor porpoise","Train data"
0.75,0.276699000844767,"Harbor porpoise","Train data"
0.76,0.260904766724016,"Harbor porpoise","Train data"
0.77,0.266960422131472,"Harbor porpoise","Train data"
0.78,0.270090783197415,"Harbor porpoise","Train data"
0.79,0.270090783197415,"Harbor porpoise","Train data"
0.8,0.270090783197415,"Harbor porpoise","Train data"
0.81,0.276568413231155,"Harbor porpoise","Train data"
0.82,0.276568413231155,"Harbor porpoise","Train data"
0.83,0.27992075070235,"Harbor porpoise","Train data"
0.84,0.286866051335573,"Harbor porpoise","Train data"
0.85,0.2904648414548,"Harbor porpoise","Train data"
0.86,0.269385245627752,"Harbor porpoise","Train data"
0.87,0.247782521329066,"Harbor porpoise","Train data"
0.88,0.251025902760175,"Harbor porpoise","Train data"
0.89,0.251025902760175,"Harbor porpoise","Train data"
0.9,0.251025902760175,"Harbor porpoise","Train data"
0.1,0.634720388941206,"Common murre","Train data"
0.11,0.638803971737753,"Common murre","Train data"
0.12,0.642960277386277,"Common murre","Train data"
0.13,0.644362996026906,"Common murre","Train data"
0.14,0.645771287932696,"Common murre","Train data"
0.15,0.647197382092443,"Common murre","Train data"
0.16,0.654395696658089,"Common murre","Train data"
0.17,0.658049733187753,"Common murre","Train data"
0.18,0.659565805123554,"Common murre","Train data"
0.19,0.658208967283079,"Common murre","Train data"
0.2,0.656796240131503,"Common murre","Train data"
0.21,0.65903930495056,"Common murre","Train data"
0.22,0.659881780179435,"Common murre","Train data"
0.23,0.662158034135662,"Common murre","Train data"
0.24,0.666753727976735,"Common murre","Train data"
0.25,0.667596369698843,"Common murre","Train data"
0.26,0.670791095057486,"Common murre","Train data"
0.27,0.672538307300812,"Common murre","Train data"
0.28,0.673423237531641,"Common murre","Train data"
0.29,0.678237324130608,"Common murre","Train data"
0.3,0.678345583558358,"Common murre","Train data"
0.31,0.67926856721812,"Common murre","Train data"
0.32,0.682542535712382,"Common murre","Train data"
0.33,0.685016989029385,"Common murre","Train data"
0.34,0.686675751206781,"Common murre","Train data"
0.35,0.687649103913283,"Common murre","Train data"
0.36,0.691008011164707,"Common murre","Train data"
0.37,0.691317219314869,"Common murre","Train data"
0.38,0.696448897524623,"Common murre","Train data"
0.39,0.702524627166078,"Common murre","Train data"
0.4,0.704005316649283,"Common murre","Train data"
0.41,0.70599386806677,"Common murre","Train data"
0.42,0.706420433426417,"Common murre","Train data"
0.43,0.706853022669883,"Common murre","Train data"
0.44,0.707291764306966,"Common murre","Train data"
0.45,0.709118390324762,"Common murre","Train data"
0.46,0.711922333852554,"Common murre","Train data"
0.47,0.715692694810063,"Common murre","Train data"
0.48,0.721013361619972,"Common murre","Train data"
0.49,0.721294405469545,"Common murre","Train data"
0.5,0.721862787166505,"Common murre","Train data"
0.51,0.72284241872102,"Common murre","Train data"
0.52,0.719066553689094,"Common murre","Train data"
0.53,0.716660575288588,"Common murre","Train data"
0.54,0.71080806909533,"Common murre","Train data"
0.55,0.707089745632111,"Common murre","Train data"
0.56,0.70127959697733,"Common murre","Train data"
0.57,0.698722439465539,"Common murre","Train data"
0.58,0.702725108339771,"Common murre","Train data"
0.59,0.702952433643654,"Common murre","Train data"
0.6,0.704432704266837,"Common murre","Train data"
0.61,0.698990469160461,"Common murre","Train data"
0.62,0.693699529822576,"Common murre","Train data"
0.63,0.691208432089014,"Common murre","Train data"
0.64,0.688855644808874,"Common murre","Train data"
0.65,0.687138389831516,"Common murre","Train data"
0.66,0.687845230390027,"Common murre","Train data"
0.67,0.681127618165294,"Common murre","Train data"
0.68,0.685537999408085,"Common murre","Train data"
0.69,0.684979893745209,"Common murre","Train data"
0.7,0.679276455363947,"Common murre","Train data"
