"case_wts","mtry","mean_kappa"
25,1,0.286475303398014
50,3,0.293103295540928
75,2,0.300279614097616
100,3,0.293614711420721
125,2,0.287679208731922
150,3,0.286768647305619
175,3,0.278266848433237
200,2,0.262745910718689
